vmax_kt,min_pressure_mb,lat,lon,month,month_sin,month_cos,abs_lat,pressure_deficit,dvmax_6h,dpres_6h,target
60.0,998.0,26.0,-93.0,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,0.0,0.0,0.0
65.0,998.0,25.7,-93.1,6.0,1.2246467991473532e-16,-1.0,25.7,12.0,10.0,0.0,0.0
70.0,998.0,26.0,-93.5,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,10.0,0.0,0.0
70.0,998.0,25.6,-93.7,6.0,1.2246467991473532e-16,-1.0,25.6,12.0,0.0,0.0,0.0
70.0,998.0,26.0,-94.0,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,0.0,0.0,0.0
70.0,998.0,25.7,-94.4,6.0,1.2246467991473532e-16,-1.0,25.7,12.0,0.0,0.0,0.0
70.0,998.0,26.0,-94.7,6.0,1.2246467991473532e-16,-1.0,26.0,12.0,0.0,0.0,0.0
70.0,998.0,25.9,-95.3,6.0,1.2246467991473532e-16,-1.0,25.9,12.0,0.0,0.0,0.0
70.0,998.0,26.1,-95.7,6.0,1.2246467991473532e-16,-1.0,26.1,12.0,0.0,0.0,0.0
70.0,998.0,26.1,-96.4,6.0,1.2246467991473532e-16,-1.0,26.1,12.0,0.0,0.0,0.0
70.0,998.0,26.2,-97.0,6.0,1.2246467991473532e-16,-1.0,26.2,12.0,0.0,0.0,0.0
60.0,998.0,26.3,-97.7,6.0,1.2246467991473532e-16,-1.0,26.3,12.0,-20.0,0.0,0.0
70.0,998.0,25.0,-83.9,8.0,-0.8660254037844384,-0.5000000000000004,25.0,12.0,0.0,0.0,1.0
75.0,998.0,26.3,-85.7,8.0,-0.8660254037844384,-0.5000000000000004,26.3,12.0,10.0,0.0,1.0
80.0,998.0,25.7,-85.1,8.0,-0.8660254037844384,-0.5000000000000004,25.7,12.0,10.0,0.0,1.0
85.0,998.0,26.5,-86.4,8.0,-0.8660254037844384,-0.5000000000000004,26.5,12.0,10.0,0.0,1.0
90.0,998.0,26.3,-86.5,8.0,-0.8660254037844384,-0.5000000000000004,26.3,12.0,10.0,0.0,1.0
95.0,998.0,27.0,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,27.0,12.0,10.0,0.0,1.0
100.0,998.0,27.0,-87.8,8.0,-0.8660254037844384,-0.5000000000000004,27.0,12.0,10.0,0.0,1.0
105.0,998.0,27.6,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,27.6,12.0,10.0,0.0,0.0
110.0,998.0,27.7,-89.1,8.0,-0.8660254037844384,-0.5000000000000004,27.7,12.0,10.0,0.0,0.0
115.0,998.0,28.1,-89.5,8.0,-0.8660254037844384,-0.5000000000000004,28.1,12.0,10.0,0.0,0.0
120.0,998.0,28.2,-89.8,8.0,-0.8660254037844384,-0.5000000000000004,28.2,12.0,10.0,0.0,0.0
125.0,998.0,28.5,-90.2,8.0,-0.8660254037844384,-0.5000000000000004,28.5,12.0,10.0,0.0,0.0
130.0,998.0,28.7,-90.5,8.0,-0.8660254037844384,-0.5000000000000004,28.7,12.0,10.0,0.0,0.0
130.0,998.0,28.9,-90.8,8.0,-0.8660254037844384,-0.5000000000000004,28.9,12.0,0.0,0.0,0.0
130.0,934.0,29.2,-91.1,8.0,-0.8660254037844384,-0.5000000000000004,29.2,76.0,0.0,0.0,0.0
120.0,998.0,29.4,-91.4,8.0,-0.8660254037844384,-0.5000000000000004,29.4,12.0,-20.0,0.0,0.0
110.0,998.0,29.7,-91.6,8.0,-0.8660254037844384,-0.5000000000000004,29.7,12.0,-20.0,0.0,0.0
95.0,998.0,29.8,-91.8,8.0,-0.8660254037844384,-0.5000000000000004,29.8,12.0,-30.0,0.0,0.0
80.0,998.0,30.0,-91.8,8.0,-0.8660254037844384,-0.5000000000000004,30.0,12.0,-30.0,0.0,0.0
70.0,998.0,30.1,-92.1,8.0,-0.8660254037844384,-0.5000000000000004,30.1,12.0,-20.0,0.0,0.0
50.0,998.0,34.0,-74.5,6.0,1.2246467991473532e-16,-1.0,34.0,12.0,0.0,0.0,0.0
50.0,998.0,34.2,-74.2,6.0,1.2246467991473532e-16,-1.0,34.2,12.0,0.0,0.0,0.0
50.0,998.0,34.5,-73.8,6.0,1.2246467991473532e-16,-1.0,34.5,12.0,0.0,0.0,0.0
50.0,998.0,34.8,-73.2,6.0,1.2246467991473532e-16,-1.0,34.8,12.0,0.0,0.0,0.0
50.0,998.0,35.0,-72.6,6.0,1.2246467991473532e-16,-1.0,35.0,12.0,0.0,0.0,0.0
50.0,998.0,35.1,-72.0,6.0,1.2246467991473532e-16,-1.0,35.1,12.0,0.0,0.0,0.0
50.0,998.0,35.2,-71.4,6.0,1.2246467991473532e-16,-1.0,35.2,12.0,0.0,0.0,0.0
50.0,998.0,35.3,-70.8,6.0,1.2246467991473532e-16,-1.0,35.3,12.0,0.0,0.0,0.0
40.0,998.0,27.9,-84.1,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,0.0,0.0,0.0
40.0,998.0,28.1,-84.2,8.0,-0.8660254037844384,-0.5000000000000004,28.1,12.0,0.0,0.0,0.0
